original_title,genres,popularity,original_language,production_countries,revenue,budget,estimated_profit
National Treasure: Book of Secrets,"['Action', 'Adventure', 'Mystery']",12.854373,en,['US'],457363168.0,130000000.0,327363168.0
Django Unchained,"['Drama', 'Western']",19.785025,en,['US'],425368238.0,100000000.0,325368238.0
Charlie and the Chocolate Factory,"['Adventure', 'Comedy', 'Family']",22.038405,en,"['AU', 'GB', 'US']",474968763.0,150000000.0,324968763.0
The Fugitive,"['Adventure', 'Action', 'Thriller']",10.08937,en,['US'],368875760.0,44000000.0,324875760.0
Ice Age,"['Animation', 'Comedy', 'Family']",17.328902,en,['US'],383257136.0,59000000.0,324257136.0
Fifty Shades Darker,"['Drama', 'Romance']",29.130443,en,['US'],378827494.0,55000000.0,323827494.0
Crocodile Dundee,"['Adventure', 'Comedy']",7.791212,en,['AU'],328203506.0,5000000.0,323203506.0
Troy,"['Adventure', 'Drama', 'War']",15.387275,en,"['US', 'MT', 'GB']",497409852.0,175000000.0,322409852.0
Notting Hill,"['Romance', 'Comedy', 'Drama']",9.874043,en,"['GB', 'US']",363889678.0,42000000.0,321889678.0
Speed,"['Action', 'Adventure', 'Crime']",10.859292,en,['US'],350448145.0,30000000.0,320448145.0
The Karate Kid,"['Action', 'Adventure', 'Drama']",11.690781,en,"['CN', 'US']",357852395.0,40000000.0,317852395.0
The Last Samurai,"['Drama', 'Action', 'War']",19.582325,en,"['JP', 'US', 'NZ']",456758981.0,140000000.0,316758981.0
Black Swan,"['Drama', 'Thriller']",12.989056,en,['US'],327803731.0,13000000.0,314803731.0
The Maze Runner,"['Action', 'Mystery', 'Science Fiction']",76.93789,en,['US'],348319861.0,34000000.0,314319861.0
Pearl Harbor,"['History', 'Romance', 'War']",11.419388,en,['US'],449220945.0,140000000.0,309220945.0
Gone Girl,"['Mystery', 'Thriller', 'Drama']",154.801009,en,['US'],369330363.0,61000000.0,308330363.0
Wreck-It Ralph,"['Family', 'Animation', 'Comedy']",13.697597,en,['US'],471222889.0,165000000.0,306222889.0
Fatal Attraction,"['Romance', 'Drama', 'Thriller']",14.260779,en,['US'],320145693.0,14000000.0,306145693.0
The Conjuring,"['Horror', 'Thriller']",14.90169,en,['US'],318000141.0,13000000.0,305000141.0
Indiana Jones and the Temple of Doom,"['Adventure', 'Action']",15.802306,en,['US'],333000000.0,28000000.0,305000000.0
